x,y,z,ley,antes_max,Period,valor,valor_acum
24265,24645,3085,0.52,0,1.0,-4567.167160714287,-78439.83957160717
24265,24645,3095,0.51,0,1.0,-6148.293066964285,-84588.13263857145
24265,24645,3105,0.51,0,1.0,-6148.293066964285,-90736.42570553573
24265,24645,3115,0.51,0,1.0,-6148.293066964285,-96884.71877250001
24265,24645,3125,0.5,0,1.0,-7729.418973214281,-104614.1377457143
24265,24645,3135,0.5,0,2.0,-6901.266940369894,-111515.40468608419
24265,24645,3145,0.51,0,2.0,-5489.547381218111,-117004.9520673023
24265,24645,3155,0.51,0,2.0,-5489.547381218111,-122494.49944852042
24265,24645,3165,0.56,0,2.0,1569.0504145408195,-120925.4490339796
24265,24645,3175,0.56,0,2.0,1569.0504145408195,-119356.39861943878
24265,24645,3185,0.55,0,2.0,157.33085538903654,-119199.06776404975
24265,24645,3195,0.6,0,2.0,7215.928651147968,-111983.13911290177
24265,24645,3205,0.63,0,2.0,11451.087328603302,-100532.05178429847
24265,24645,3215,0.61,0,2.0,8627.64821029972,-91904.40357399874
24265,24645,3225,0.53,0,2.0,-2666.108262914545,-94570.51183691328
24265,24645,3235,0.53,0,2.0,-2666.108262914545,-97236.62009982782
24265,24645,3245,0.51,0,2.0,-5489.547381218111,-102726.16748104594
24265,24645,3255,0.53,0,2.0,-2666.108262914545,-105392.27574396048
24265,24645,3265,0.52,0,2.0,-4077.827822066328,-109470.10356602681
24265,24645,3275,0.47,0,3.0,-9943.23715877256,-119413.34072479937
24265,24645,3285,0.47,0,3.0,-9943.23715877256,-129356.57788357194
24265,24645,3295,0.41,0,3.0,-17506.020511371407,-146862.59839494334
24265,24655,3005,0.44,0,0.0,-19282.115339999997,-19282.115339999997
24265,24655,3015,0.44,0,0.0,-19282.115339999997,-38564.23067999999
24265,24655,3025,0.44,0,0.0,-19282.115339999997,-57846.34601999999
24265,24655,3035,0.5,0,0.0,-8656.949249999996,-66503.29526999999
24265,24655,3045,0.51,0,0.0,-6886.088234999999,-73389.38350499999
24265,24655,3055,0.5,0,1.0,-7729.418973214281,-81118.80247821427
24265,24655,3065,0.49,0,1.0,-9310.544879464296,-90429.34735767858
24265,24655,3075,0.47,0,1.0,-12472.7966919643,-102902.14404964287
24265,24655,3085,0.48,0,1.0,-10891.670785714294,-113793.81483535716
24265,24655,3095,0.51,0,1.0,-6148.293066964285,-119942.10790232144
24265,24655,3105,0.52,0,1.0,-4567.167160714287,-124509.27506303573
24265,24655,3115,0.52,0,1.0,-4567.167160714287,-129076.44222375003
24265,24655,3125,0.51,0,1.0,-6148.293066964285,-135224.7352907143
24265,24655,3135,0.49,0,2.0,-8312.986499521692,-143537.721790236
24265,24655,3145,0.49,0,2.0,-8312.986499521692,-151850.70828975772
24265,24655,3155,0.54,0,2.0,-1254.388703762762,-153105.09699352048
24265,24655,3165,0.55,0,2.0,157.33085538903654,-152947.76613813144
24265,24655,3175,0.54,0,2.0,-1254.388703762762,-154202.1548418942
24265,24655,3185,0.61,0,2.0,8627.64821029972,-145574.50663159447
24265,24655,3195,0.65,0,2.0,14274.526446906882,-131299.9801846876
24265,24655,3205,0.64,0,2.0,12862.806887755085,-118437.17329693251
24265,24655,3215,0.61,0,2.0,8627.64821029972,-109809.52508663278
24265,24655,3225,0.52,0,2.0,-4077.827822066328,-113887.35290869912
24265,24655,3235,0.51,0,2.0,-5489.547381218111,-119376.90028991723
24265,24655,3245,0.49,0,2.0,-8312.986499521692,-127689.88678943893
24265,24655,3255,0.51,0,2.0,-5489.547381218111,-133179.43417065704
